countries,pearson corr,pearson p,spearman corr,spearman p
Gabon_Venezuela,0.35141056933718534,1.9349485642068222e-10,0.8127699838498231,3.0007293073948633e-74
Gabon_Vietnam,0.12764316154073424,0.024607338698812094,0.15522680192093574,0.006169613581070793
Gabon_Western Sahara,0.22101233912828055,8.700418753696264e-05,0.3263021634031976,4.0106256139871494e-09
Gabon_Yemen,0.17166631435276958,0.002422701870053531,0.44279958117877516,2.5646271249224805e-16
Gabon_Zambia,0.4085435618606155,6.699925394640502e-14,0.7752713996400501,2.0374705518046112e-63
Gabon_Zimbabwe,0.6857894934864013,2.0857416740378364e-44,0.7630361401026355,2.5063424609774144e-60
Gambia_Georgia,-0.08542506307906622,0.1334249312631135,-0.14278485225958795,0.011844654800518314
Gambia_Germany,-0.030285671377232252,0.5952788051526553,-0.37311712479798315,1.1242715880023692e-11
Gambia_Ghana,0.5825890993672025,1.4414039449617945e-29,0.5987555192183159,1.5311741488562237e-31
Gambia_Greece,-0.051664257236856456,0.36463213462139876,0.010431444678427373,0.8548548636328186
Gambia_Grenada,0.3657106493021468,3.041101914709892e-11,0.04244989261398359,0.45643864728941497
Gambia_Guatemala,0.3046819298988969,4.41252550906907e-08,0.5665995364029922,1.0130149978493489e-27
Gambia_Guinea,0.3919932158234764,7.918536938046209e-13,0.5284633691798102,1.0651387806091055e-23
Gambia_Guinea-Bissau,0.13526943068098365,0.017171942039291843,0.45770090272621583,1.859172604691457e-17
Gambia_Guyana,0.22748982475597385,5.292573382378512e-05,0.5499072308728671,6.752125885173597e-26
Gambia_Haiti,0.4625517571392665,7.693490484501038e-18,0.5738608888610032,1.511573427345987e-28
Gambia_Honduras,0.36943561343030307,1.8495329576959417e-11,0.5441191517594609,2.7434723592991597e-25
Gambia_Hungary,0.16433761513602982,0.0037135044536423375,0.0061159394217233385,0.9145920636162103
Gambia_Iceland,-0.013390462960933191,0.8143472560945271,0.03262868885492773,0.5671058985688698
